,strikes,date,village,region,year,leaders-killed,leader-names,leader-description,militants-killed-low,militants-killed-high,militants-killed-avg,unknown-killed-low,unknown-killed-high,unknown-killed-avg,civilians-killed-low,civilians-killed-high,civilians-killed-avg,total-killed-low,total-killed-high,total-killed-avg,president (US),target-type,target-organization,target-group,target-latitude,target-longitude,province
0,1,2004-06-19,wana,south waziristan,2004,1,nek muhammad,"commander, taliban",1,1,1,5,5,5,1,1,1,7,7,7,bush,house,taliban,1. taliban,32.307446,69.56543,federally administered tribal areas
1,1,2005-05-08,"toorikhel, mirali",north waziristan,2005,1,haitham al-yemeni,"explosives expert, al qaeda",2,2,2,0,0,0,0,0,0,2,2,2,bush,unclear,al-qaeda,3. al-qaeda,32.987644,70.261345,federally administered tribal areas
2,1,2005-11-05,haisori,north waziristan,2005,0,none,none,0,0,0,4,4,4,4,4,4,8,8,8,bush,house,al-qaeda,3. al-qaeda,33.010391,70.043335,federally administered tribal areas
3,1,2005-12-01,patasi adda,north waziristan,2005,1,abu hamza rabia,"senior commander, al qaeda",3,3,3,2,2,2,0,0,0,5,5,5,bush,unclear,al-qaeda,3. al-qaeda,32.09686,70.2657,federally administered tribal areas
4,1,2006-01-06,damadola,bajaur,2006,0,none,none,0,0,0,0,0,0,8,18,13,8,18,13,bush,gathering,al-qaeda,3. al-qaeda,34.801682,71.472588,federally administered tribal areas
5,1,2006-10-30,"chenagai, six miles north of khar",bajaur,2006,0,none,none,1,1,1,0,0,0,79,81,80,80,82,81,bush,house,al-qaeda,3. al-qaeda,34.841988,71.49765,federally administered tribal areas
6,1,2007-01-16,"salamat keley, zamazola",south waziristan,2007,0,none,none,12,22,17,8,8,8,0,0,0,20,30,25,bush,training camp,al-qaeda,3. al-qaeda,32.844982,69.56543,federally administered tribal areas
7,1,2007-04-27,"danda saidgai, 15 km north of miram shah",north waziristan,2007,0,none,none,0,0,0,3,4,3,0,0,0,3,4,3,bush,house,taliban,1. taliban,33.109947,70.068054,federally administered tribal areas
8,1,2007-06-19,"mami rogha, 26 miles west of miram shah",north waziristan,2007,0,none,none,20,34,27,0,0,0,0,0,0,20,34,27,bush,training camp,al-qaeda,3. al-qaeda,32.991386,70.291901,federally administered tribal areas
9,1,2007-11-02,outside miram shah,north waziristan,2007,0,none,none,5,9,7,0,0,0,0,0,0,5,9,7,bush,compound,taliban,1. taliban,32.992538,70.098953,federally administered tribal areas
